City,Edition,Sport,Discipline,Athelete,NOC,Gender,Event,Event_gender,Medal,,City,Edition,Sport,Discipline,Athelete,NOC,Gender,Event,Event_gender,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,marathon 10km,F,Gold,,London,2012,Aquatics,Swimming,,,,marathon 10km ,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,marathon 10km,M,Gold,,London,2012,Aquatics,Swimming,,,,marathon 10km ,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Individual Medley,F,Gold,,London,2012,Aquatics,Diving,,,,10m Platform,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 100m Medley Relay,F,Gold,,London,2012,Aquatics,Diving,,,,3m Springboard,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,400m Individual Medley,F,Gold,,London,2012,Aquatics,Diving,,,,Synchronised 10m Platform,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,200m Individual Medley,M,Gold,,London,2012,Aquatics,Diving,,,,Synchronised 3m Springboard,F,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,4 x 100m Medley Relay,M,Gold,,London,2012,Aquatics,Diving,,,,10m Platform,M,,
Rio de Janeiro,2016,Aquatics,Swimming,,,,400m Individual Medley,M,Gold,,London,2012,Aquatics,Diving,,,,3m Springboard,M,,
Rio de Janeiro,2016,Aquatics,Synchronised S.,,,,Duets,F,Gold,,London,2012,Aquatics,Diving,,,,Synchronised 10m Platform,M,,
Rio de Janeiro,2016,Aquatics,Synchronised S.,,,,Teams,F,Gold,,London,2012,Aquatics,Diving,,,,Synchronised 3m Springboard,M,,
Rio de Janeiro,2016,Aquatics,Water polo,,,,Women,F,Gold,,London,2012,Aquatics,Synchronised S.,,,,Duets,F,,
Rio de Janeiro,2016,Aquatics,Water polo,,,,Men,M,Gold,,London,2012,Aquatics,Synchronised S.,,,,Teams,F,,
Rio de Janeiro,2016,Archery,Archery,,,,Individual,F,Gold,,London,2012,Aquatics,Water polo,,,,Women,F,,
Rio de Janeiro,2016,Archery,Archery,,,,Team,F,Gold,,London,2012,Aquatics,Water polo,,,,Men,M,,
Rio de Janeiro,2016,Archery,Archery,,,,Individual,M,Gold,,London,2012,Archery,Archery,,,,Individual,F,,
Rio de Janeiro,2016,Archery,Archery,,,,Team,M,Gold,,London,2012,Archery,Archery,,,,Team,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Heptathlon,F,Gold,,London,2012,Archery,Archery,,,,Individual,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Decathlon,M,Gold,,London,2012,Archery,Archery,,,,Team,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,High Jump,F,Gold,,London,2012,Athletics,Athletics,,,,Heptathlon,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Long Jump,F,Gold,,London,2012,Athletics,Athletics,,,,Decathlon,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Pole Vault,F,Gold,,London,2012,Athletics,Athletics,,,,High Jump,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Triple Jump,F,Gold,,London,2012,Athletics,Athletics,,,,Long Jump,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,High Jump,M,Gold,,London,2012,Athletics,Athletics,,,,Pole Vault,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Long Jump,M,Gold,,London,2012,Athletics,Athletics,,,,Triple Jump,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Pole Vault,M,Gold,,London,2012,Athletics,Athletics,,,,High Jump,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Triple Jump,M,Gold,,London,2012,Athletics,Athletics,,,,Long Jump,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,20km Walk,F,Gold,,London,2012,Athletics,Athletics,,,,Pole Vault,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Marathon,F,Gold,,London,2012,Athletics,Athletics,,,,Triple Jump,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,20km Walk,M,Gold,,London,2012,Athletics,Athletics,,,,20km Walk,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,50km Walk,M,Gold,,London,2012,Athletics,Athletics,,,,Marathon,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Marathon,M,Gold,,London,2012,Athletics,Athletics,,,,20km Walk,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Discus Throw,F,Gold,,London,2012,Athletics,Athletics,,,,50km Walk,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Hammer Throw,F,Gold,,London,2012,Athletics,Athletics,,,,Marathon,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Javelin Throw,F,Gold,,London,2012,Athletics,Athletics,,,,Discus Throw,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Shot Put,F,Gold,,London,2012,Athletics,Athletics,,,,Hammer Throw,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Discus Throw,M,Gold,,London,2012,Athletics,Athletics,,,,Javelin Throw,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Hammer Throw,M,Gold,,London,2012,Athletics,Athletics,,,,Shot Put,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Javelin Throw,M,Gold,,London,2012,Athletics,Athletics,,,,Discus Throw,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,Shot Put,M,Gold,,London,2012,Athletics,Athletics,,,,Hammer Throw,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,"10,000m",F,Gold,,London,2012,Athletics,Athletics,,,,Javelin Throw,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,100m,F,Gold,,London,2012,Athletics,Athletics,,,,Shot Put,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,100m Hurdles,F,Gold,,London,2012,Athletics,Athletics,,,,"10,000m",F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,1500m,F,Gold,,London,2012,Athletics,Athletics,,,,100m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,200m,F,Gold,,London,2012,Athletics,Athletics,,,,100m Hurdles,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,3000m Steeplechase,F,Gold,,London,2012,Athletics,Athletics,,,,1500m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,4 x 100m Relay,F,Gold,,London,2012,Athletics,Athletics,,,,200m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,4 x 400m Relay,F,Gold,,London,2012,Athletics,Athletics,,,,3000m Steeplechase,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,400m,F,Gold,,London,2012,Athletics,Athletics,,,,4 x 100m Relay,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,400m Hurdles,F,Gold,,London,2012,Athletics,Athletics,,,,4 x 400m Relay,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,5000m,F,Gold,,London,2012,Athletics,Athletics,,,,400m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,800m,F,Gold,,London,2012,Athletics,Athletics,,,,400m Hurdles,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,"10,000m",M,Gold,,London,2012,Athletics,Athletics,,,,5000m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,100m,M,Gold,,London,2012,Athletics,Athletics,,,,800m,F,,
Rio de Janeiro,2016,Athletics,Athletics,,,,110m Hurdles,M,Gold,,London,2012,Athletics,Athletics,,,,"10,000m",M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,1500m,M,Gold,,London,2012,Athletics,Athletics,,,,100m,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,200m,M,Gold,,London,2012,Athletics,Athletics,,,,110m Hurdles,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,3000m Steeplechase,M,Gold,,London,2012,Athletics,Athletics,,,,1500m,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,4 x 100m Relay,M,Gold,,London,2012,Athletics,Athletics,,,,200m,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,4 x 400m Relay,M,Gold,,London,2012,Athletics,Athletics,,,,3000m Steeplechase,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,400m,M,Gold,,London,2012,Athletics,Athletics,,,,4 x 100m Relay,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,400m Hurdles,M,Gold,,London,2012,Athletics,Athletics,,,,4 x 400m Relay,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,5000m,M,Gold,,London,2012,Athletics,Athletics,,,,400m,M,,
Rio de Janeiro,2016,Athletics,Athletics,,,,800m,M,Gold,,London,2012,Athletics,Athletics,,,,400m Hurdles,M,,
Rio de Janeiro,2016,Badminton,Badminton,,,,Doubles,F,Gold,,London,2012,Athletics,Athletics,,,,5000m,M,,
Rio de Janeiro,2016,Badminton,Badminton,,,,Singles,F,Gold,,London,2012,Athletics,Athletics,,,,800m,M,,
Rio de Janeiro,2016,Badminton,Badminton,,,,Doubles,M,Gold,,London,2012,Badminton,Badminton,,,,Doubles,F,,
Rio de Janeiro,2016,Badminton,Badminton,,,,Singles,M,Gold,,London,2012,Badminton,Badminton,,,,Singles,F,,
Rio de Janeiro,2016,Badminton,Badminton,,,,Mixed Doubles,X,Gold,,London,2012,Badminton,Badminton,,,,Doubles,M,,
Rio de Janeiro,2016,Basketball,Basketball,,,,Women,F,Gold,,London,2012,Badminton,Badminton,,,,Singles,M,,
Rio de Janeiro,2016,Basketball,Basketball,,,,Men,M,Gold,,London,2012,Badminton,Badminton,,,,Mixed Doubles,X,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Fly (48-51kg),F,Gold,,London,2012,Basketball,Basketball,,,,Women,F,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Light (57-60kg),F,Gold,,London,2012,Basketball,Basketball,,,,Men,M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Middle (69-75kg),F,Gold,,London,2012,Boxing,Boxing,,,,Fly (48-51kg),F,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Bantam (56kg),M,Gold,,London,2012,Boxing,Boxing,,,,Light (57-60kg),F,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Fly (52kg),M,Gold,,London,2012,Boxing,Boxing,,,,Middle (69-75kg),F,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Heavy (91kg),M,Gold,,London,2012,Boxing,Boxing,,,,Bantam (56kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Light (60kg),M,Gold,,London,2012,Boxing,Boxing,,,,Fly (52kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Light Fly (46-49kg),M,Gold,,London,2012,Boxing,Boxing,,,,Heavy (91kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Light Heavy (81kg),M,Gold,,London,2012,Boxing,Boxing,,,,Light (60kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Light Welter (64kg),M,Gold,,London,2012,Boxing,Boxing,,,,Light Fly (46-49kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Middle (75kg),M,Gold,,London,2012,Boxing,Boxing,,,,Light Heavy (81kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Super Heavy (+91kg),M,Gold,,London,2012,Boxing,Boxing,,,,Light Welter (64kg),M,,
Rio de Janeiro,2016,Boxing,Boxing,,,,Welter (69kg),M,Gold,,London,2012,Boxing,Boxing,,,,Middle (75kg),M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak S,,,,Kayak (K1) Women,F,Gold,,London,2012,Boxing,Boxing,,,,Super Heavy (+91kg),M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak S,,,,Canoe Double (C2) Men,M,Gold,,London,2012,Boxing,Boxing,,,,Welter (69kg),M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak S,,,,Canoe Single (C1) Men,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak S,,,,Kayak (K1) Women,F,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak S,,,,Kayak (K1) Men,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak S,,,,Canoe Double (C2) Men,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 500m,F,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak S,,,,Canoe Single (C1) Men,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Four 500m,F,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak S,,,,Kayak (K1) Men,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 200m,F,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 500m,F,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 500m,F,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Four 500m,F,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Double 1000m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 200m,F,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Single 1000m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 500m,F,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Single 200m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Double 1000m,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 1000m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Single 1000m,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 200m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Canoe Single 200m,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Four 1000m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 1000m,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 1000m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Double 200m,M,,
Rio de Janeiro,2016,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 200m,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Four 1000m,M,,
Rio de Janeiro,2016,Cycling,BMX,,,,Women,F,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 1000m,M,,
Rio de Janeiro,2016,Cycling,BMX,,,,Men,M,Gold,,London,2012,Canoe / Kayak,Canoe / Kayak F,,,,Kayak Single 200m,M,,
Rio de Janeiro,2016,Cycling,Mountain Bike,,,,Cross-country,F,Gold,,London,2012,Cycling,BMX,,,,Women,F,,
Rio de Janeiro,2016,Cycling,Mountain Bike,,,,Cross-country,M,Gold,,London,2012,Cycling,BMX,,,,Men,M,,
Rio de Janeiro,2016,Cycling,Cycling Road,,,,Individual Time Trial,F,Gold,,London,2012,Cycling,Mountain Bike,,,,Cross-country,F,,
Rio de Janeiro,2016,Cycling,Cycling Road,,,,Road Race,F,Gold,,London,2012,Cycling,Mountain Bike,,,,Cross-country,M,,
Rio de Janeiro,2016,Cycling,Cycling Road,,,,Individual Time Trial,M,Gold,,London,2012,Cycling,Cycling Road,,,,Individual Time Trial,F,,
Rio de Janeiro,2016,Cycling,Cycling Road,,,,Road Race,M,Gold,,London,2012,Cycling,Cycling Road,,,,Road Race,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Keirin,F,Gold,,London,2012,Cycling,Cycling Road,,,,Individual Time Trial,M,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Omnium,F,Gold,,London,2012,Cycling,Cycling Road,,,,Road Race,M,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Sprint,F,Gold,,London,2012,Cycling,Cycling Track,,,,Keirin,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Team Pursuit,F,Gold,,London,2012,Cycling,Cycling Track,,,,Omnium,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Team Sprint,F,Gold,,London,2012,Cycling,Cycling Track,,,,Sprint,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Keirin,M,Gold,,London,2012,Cycling,Cycling Track,,,,Team Pursuit,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Omnium,M,Gold,,London,2012,Cycling,Cycling Track,,,,Team Sprint,F,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Sprint,M,Gold,,London,2012,Cycling,Cycling Track,,,,Keirin,M,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Team Pursuit,M,Gold,,London,2012,Cycling,Cycling Track,,,,Omnium,M,,
Rio de Janeiro,2016,Cycling,Cycling Track,,,,Team Sprint,M,Gold,,London,2012,Cycling,Cycling Track,,,,Sprint,M,,
Rio de Janeiro,2016,Equestrian,Dressage,,,,Dressage Individual,X,Gold,,London,2012,Cycling,Cycling Track,,,,Team Pursuit,M,,
Rio de Janeiro,2016,Equestrian,Dressage,,,,Dressage Team,X,Gold,,London,2012,Cycling,Cycling Track,,,,Team Sprint,M,,
Rio de Janeiro,2016,Equestrian,Eventing,,,,Eventing Individual,X,Gold,,London,2012,Equestrian,Dressage,,,,Dressage Individual,X,,
Rio de Janeiro,2016,Equestrian,Eventing,,,,Eventing Team,X,Gold,,London,2012,Equestrian,Dressage,,,,Dressage Team,X,,
Rio de Janeiro,2016,Equestrian,Jumping,,,,Jumping Individual,X,Gold,,London,2012,Equestrian,Eventing,,,,Eventing Individual,X,,
Rio de Janeiro,2016,Equestrian,Jumping,,,,Jumping Team,X,Gold,,London,2012,Equestrian,Eventing,,,,Eventing Team,X,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Foil Individual,F,Gold,,London,2012,Equestrian,Jumping,,,,Jumping Individual,X,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Sabre Individual,F,Gold,,London,2012,Equestrian,Jumping,,,,Jumping Team,X,,
Rio de Janeiro,2016,Fencing,Fencing,,,,íŠpí©e Individual,F,Gold,,London,2012,Fencing,Fencing,,,,Foil Individual,F,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Foil Individual,M,Gold,,London,2012,Fencing,Fencing,,,,Sabre Individual,F,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Sabre Individual,M,Gold,,London,2012,Fencing,Fencing,,,,íŠpí©e Individual,F,,
Rio de Janeiro,2016,Fencing,Fencing,,,,íŠpí©e Individual,M,Gold,,London,2012,Fencing,Fencing,,,,Foil Individual,M,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Sabre Team,F,Gold,,London,2012,Fencing,Fencing,,,,Sabre Individual,M,,
Rio de Janeiro,2016,Fencing,Fencing,,,,íŠpí©e Team,F,Gold,,London,2012,Fencing,Fencing,,,,íŠpí©e Individual,M,,
Rio de Janeiro,2016,Fencing,Fencing,,,,Foil Team,M,Gold,,London,2012,Fencing,Fencing,,,,Foil Team,F,,
Rio de Janeiro,2016,Fencing,Fencing,,,,íŠpí©e Team,M,Gold,,London,2012,Fencing,Fencing,,,,íŠpí©e Team,F,,
Rio de Janeiro,2016,Football,Football,,,,Women,F,Gold,,London,2012,Fencing,Fencing,,,,Foil Team,M,,
Rio de Janeiro,2016,Football,Football,,,,Men,M,Gold,,London,2012,Fencing,Fencing,,,,Sabre Team,M,,
Rio de Janeiro,2016,Golf,Golf,,,,Individual Stroke Play,F,Gold,,London,2012,Football,Football,,,,Women,F,Gold,
Rio de Janeiro,2016,Golf,Golf,,,,Individual Stroke Play,M,Gold,,London,2012,Football,Football,,,,Men,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Balance Beam,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Balance Beam,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Floor Exercise,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Floor Exercise,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Individual All-Around,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Individual All-Around,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Team,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Team,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Uneven Bars,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Uneven Bars,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Vault,F,Gold,,London,2012,Gymnastics,Artistic G.,,,,Vault,F,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Floor Exercise,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Floor Exercise,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Horizontal Bar,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Horizontal Bar,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Individual All-Around,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Individual All-Around,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Parallel Bars,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Parallel Bars,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Pommel Horse,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Pommel Horse,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Rings,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Rings,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Team,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Team,M,Gold,
Rio de Janeiro,2016,Gymnastics,Artistic G.,,,,Vault,M,Gold,,London,2012,Gymnastics,Artistic G.,,,,Vault,M,Gold,
Rio de Janeiro,2016,Gymnastics,Rhythmic G.,,,,Group All-Around,F,Gold,,London,2012,Gymnastics,Rhythmic G.,,,,Group All-Around,F,Gold,
Rio de Janeiro,2016,Gymnastics,Rhythmic G.,,,,Individual All-Around,F,Gold,,London,2012,Gymnastics,Rhythmic G.,,,,Individual All-Around,F,Gold,
Rio de Janeiro,2016,Gymnastics,Trampoline,,,,Women,F,Gold,,London,2012,Gymnastics,Trampoline,,,,Women,F,Gold,
